id,qname,heading,text,type,diagram,website,updated
,RegulatoryScopeCode,RegulatoryScopeCode,A code indicating the regulatory scope of a rule maker role.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/RegulatoryScopeCode.dot.svg,https://w3id.org/itsdata/regulation/v1/RegulatoryScopeCode,2026-07-21T18:08:15.348954
,RoadSurfaceFeature,RoadSurfaceFeature,"A traffic control device that changes the nature of the road surface, such as rumble strips or speed bumps.",Class,https://w3id.org/itsdata/regulation/v1/diagrams/RoadSurfaceFeature.dot.svg,https://w3id.org/itsdata/regulation/v1/RoadSurfaceFeature,2026-07-21T18:08:15.348954
,RoadSurfaceFeatureTypeCode,RoadSurfaceFeatureTypeCode,A code that indicates the type of road surface feature.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/RoadSurfaceFeatureTypeCode.dot.svg,https://w3id.org/itsdata/regulation/v1/RoadSurfaceFeatureTypeCode,2026-07-21T18:08:15.348954
,RoadTypeCode,RoadTypeCode,A code that indicates categories of roads that can affect the applicability of a regulation.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/RoadTypeCode.dot.svg,https://w3id.org/itsdata/regulation/v1/RoadTypeCode,2026-07-21T18:08:15.348954
,RoadWeatherConditionCode,RoadWeatherConditionCode,A code that indicates the types of road weather conditions that can affect the applicability of a regulation.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/RoadWeatherConditionCode.dot.svg,https://w3id.org/itsdata/regulation/v1/RoadWeatherConditionCode,2026-07-21T18:08:15.348954
,RuleMakerRole,RuleMakerRole,A Role that includes the responsibility for creating and maintaining rules of the road or regulations for a geographic and operational scope as defined by the parent jurisdictional entity.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/RuleMakerRole.dot.svg,https://w3id.org/itsdata/regulation/v1/RuleMakerRole,2026-07-21T18:08:15.348954
,SignDestination,SignDestination,A destination that is indicated on the road sign.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/SignDestination.dot.svg,https://w3id.org/itsdata/regulation/v1/SignDestination,2026-07-21T18:08:15.348954
,SimpleSign,SimpleSign,A traffic control device that consists of a single message conveyed by a single pictogram.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/SimpleSign.dot.svg,https://w3id.org/itsdata/regulation/v1/SimpleSign,2026-07-21T18:08:15.348954
,StandAloneRegulationCode,StandAloneRegulationCode,A code indicating the type of regulation that does not require any supplemental information.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/StandAloneRegulationCode.dot.svg,https://w3id.org/itsdata/regulation/v1/StandAloneRegulationCode,2026-07-21T18:08:15.348954
,StandingOrParkingCategoryCode,StandingOrParkingCategoryCode,A code that indicates categories of standing or parking that can affect the applicability of a regulation.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/StandingOrParkingCategoryCode.dot.svg,https://w3id.org/itsdata/regulation/v1/StandingOrParkingCategoryCode,2026-07-21T18:08:15.348954
,TextComposite,TextComposite,An attribute that consists of text (multi-lingual string) on the default area of the main pictogram.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/TextComposite.dot.svg,https://w3id.org/itsdata/regulation/v1/TextComposite,2026-07-21T18:08:15.348954
,TextualRegulation,TextualRegulation,A textual regulation is a rule having the force of law that is established by a regulator through a traffic regulation order.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/TextualRegulation.dot.svg,https://w3id.org/itsdata/regulation/v1/TextualRegulation,2026-07-21T18:08:15.348954
,ThresholdRegulationCode,ThresholdRegulationCode,A code indicating the type of regulation that requires a threshold value.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/ThresholdRegulationCode.dot.svg,https://w3id.org/itsdata/regulation/v1/ThresholdRegulationCode,2026-07-21T18:08:15.348954
,TimeValidityCondition,TimeValidityCondition,A condition that applies to a specific location.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/TimeValidityCondition.dot.svg,https://w3id.org/itsdata/regulation/v1/TimeValidityCondition,2026-07-21T18:08:15.348954
,TrafficControlDevice,TrafficControlDevice,"A device that is used to control traffic, such as a road sign, traffic signal, or pavement marking.",Class,https://w3id.org/itsdata/regulation/v1/diagrams/TrafficControlDevice.dot.svg,https://w3id.org/itsdata/regulation/v1/TrafficControlDevice,2026-07-21T18:08:15.348954
,TrafficRegulation,TrafficRegulation,A traffic regulation is a rule having the force of law that is established by a regulator through a traffic regulation order.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/TrafficRegulation.dot.svg,https://w3id.org/itsdata/regulation/v1/TrafficRegulation,2026-07-21T18:08:15.348954
,TrafficRegulationOrder,TrafficRegulationOrder,A legally recognized document or publication issued to enact a specific traffic regulation or regulations by a competent authority.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/TrafficRegulationOrder.dot.svg,https://w3id.org/itsdata/regulation/v1/TrafficRegulationOrder,2026-07-21T18:08:15.348954
